variant,dataset,horizon,seed,validation_mse,validation_mae,parameter_count,record
no_decomp,ETTm1,96,2021,0.3935515064073749,0.41004499042904896,988070,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm1_p96_no_decomp_s2021.json
no_decomp,ETTm1,720,2021,0.9477074043501676,0.6520478557086314,6739478,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm1_p720_no_decomp_s2021.json
no_decomp,ETTm2,96,2021,0.12660421819032028,0.2444771226495582,988070,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm2_p96_no_decomp_s2021.json
no_decomp,ETTm2,720,2021,0.29568042259806004,0.3756127656543688,6739478,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm2_p720_no_decomp_s2021.json
no_patch,ETTm1,96,2021,0.3981161431390767,0.4171363271637933,702214,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm1_p96_no_patch_s2021.json
no_patch,ETTm1,720,2021,0.977179028889383,0.657636754398981,4597222,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm1_p720_no_patch_s2021.json
no_patch,ETTm2,96,2021,0.13006551234016844,0.2455534259485704,702214,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm2_p96_no_patch_s2021.json
no_patch,ETTm2,720,2021,0.29374293647159866,0.3725033812426934,4597222,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm2_p720_no_patch_s2021.json
uni_mamba,ETTm1,96,2021,0.4064454334756291,0.41973419473856155,958854,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm1_p96_uni_mamba_s2021.json
uni_mamba,ETTm1,720,2021,0.978565116663902,0.6613753543744066,6770790,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm1_p720_uni_mamba_s2021.json
uni_mamba,ETTm2,96,2021,0.1270379710348991,0.2464189479315518,958854,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm2_p96_uni_mamba_s2021.json
uni_mamba,ETTm2,720,2021,0.3092955074726579,0.38469005030857667,6770790,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm2_p720_uni_mamba_s2021.json
no_mamba,ETTm1,96,2021,0.3846330352652827,0.4081246877807223,903366,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm1_p96_no_mamba_s2021.json
no_mamba,ETTm1,720,2021,0.9641116195310215,0.6495624407629896,6715302,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm1_p720_no_mamba_s2021.json
no_mamba,ETTm2,96,2021,0.127326928763088,0.24658957073064203,903366,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm2_p96_no_mamba_s2021.json
no_mamba,ETTm2,720,2021,0.28315870291108314,0.3665926677635301,6715302,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm2_p720_no_mamba_s2021.json
no_graph,ETTm1,96,2021,0.39692427047009243,0.41560979079762955,988992,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm1_p96_no_graph_s2021.json
no_graph,ETTm1,720,2021,0.9728831979567588,0.6638759354212224,6800928,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm1_p720_no_graph_s2021.json
no_graph,ETTm2,96,2021,0.13127947886909086,0.24760593485457086,988992,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm2_p96_no_graph_s2021.json
no_graph,ETTm2,720,2021,0.29016467446125604,0.3699526780013893,6800928,/home/cwh/Time-Series-Library/logs/graphmamba_backbone_ablation/records/table2_ettm2_p720_no_graph_s2021.json
no_decomp,ETTm1,96,2022,0.39663843324833564,0.4161566235962741,988070,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p96_no_decomp_s2022.json
no_decomp,ETTm1,720,2022,0.9449241626197897,0.6529074105465461,6739478,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p720_no_decomp_s2022.json
no_decomp,ETTm2,96,2022,0.12981944595337708,0.2475770383856502,988070,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p96_no_decomp_s2022.json
no_decomp,ETTm2,720,2022,0.28839657499143734,0.3712027230792673,6739478,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p720_no_decomp_s2022.json
no_patch,ETTm1,96,2022,0.3991344194868349,0.4145168902782819,702214,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p96_no_patch_s2022.json
no_patch,ETTm1,720,2022,0.9629384498874756,0.6562956959228725,4597222,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p720_no_patch_s2022.json
no_patch,ETTm2,96,2022,0.13264692634247835,0.24806945663448968,702214,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p96_no_patch_s2022.json
no_patch,ETTm2,720,2022,0.29103246498156404,0.3732132222007065,4597222,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p720_no_patch_s2022.json
uni_mamba,ETTm1,96,2022,0.41002574661889274,0.4219505975931352,958854,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p96_uni_mamba_s2022.json
uni_mamba,ETTm1,720,2022,0.9733837349073352,0.6604938076744253,6770790,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p720_uni_mamba_s2022.json
uni_mamba,ETTm2,96,2022,0.13353867412246961,0.25243478927262514,958854,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p96_uni_mamba_s2022.json
uni_mamba,ETTm2,720,2022,0.29039146243531977,0.36940432376960153,6770790,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p720_uni_mamba_s2022.json
no_mamba,ETTm1,96,2022,0.3849346291900886,0.40871441458642166,903366,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p96_no_mamba_s2022.json
no_mamba,ETTm1,720,2022,0.9635916547469333,0.6496310785416052,6715302,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p720_no_mamba_s2022.json
no_mamba,ETTm2,96,2022,0.12679913872838752,0.24575946332067578,903366,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p96_no_mamba_s2022.json
no_mamba,ETTm2,720,2022,0.28349051721034063,0.3663259660982899,6715302,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p720_no_mamba_s2022.json
no_graph,ETTm1,96,2022,0.40889979929207043,0.42128454962210987,988992,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p96_no_graph_s2022.json
no_graph,ETTm1,720,2022,0.9695502955111078,0.6579335968900955,6800928,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p720_no_graph_s2022.json
no_graph,ETTm2,96,2022,0.1311967025956375,0.25045770217245217,988992,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p96_no_graph_s2022.json
no_graph,ETTm2,720,2022,0.28885744480860365,0.3719077176272121,6800928,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p720_no_graph_s2022.json
no_decomp,ETTm1,96,2023,0.4035879772544416,0.4205900314210218,988070,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p96_no_decomp_s2023.json
no_decomp,ETTm1,720,2023,0.9526447654597862,0.6505957659412599,6739478,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p720_no_decomp_s2023.json
no_decomp,ETTm2,96,2023,0.12865092413766044,0.24688595964869597,988070,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm2_p96_no_decomp_s2023.json
no_decomp,ETTm2,720,2023,0.30199371317305274,0.3822494810346503,6739478,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm2_p720_no_decomp_s2023.json
no_patch,ETTm1,96,2023,0.38372188941953184,0.4058308502186136,702214,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p96_no_patch_s2023.json
no_patch,ETTm1,720,2023,0.9709793104566302,0.6582880192305643,4597222,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p720_no_patch_s2023.json
no_patch,ETTm2,96,2023,0.12831041996486736,0.24537747964544,702214,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm2_p96_no_patch_s2023.json
no_patch,ETTm2,720,2023,0.28972836541420144,0.36858016669061633,4597222,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm2_p720_no_patch_s2023.json
uni_mamba,ETTm1,96,2023,0.40194381385939165,0.41671061452309316,958854,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p96_uni_mamba_s2023.json
uni_mamba,ETTm1,720,2023,0.9730794345460829,0.6583579951375939,6770790,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p720_uni_mamba_s2023.json
uni_mamba,ETTm2,96,2023,0.12927242838915307,0.24716875981375291,958854,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm2_p96_uni_mamba_s2023.json
